"exercise_slug","exercise_name","workout_location","muscle_category","equipment_groups"
"kneeling-lateral-raise-alternating-db-or-kb","Kneeling Lateral Raise — Alternating (Db Or Kb)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"kneeling-lateral-raise-unilateral-db-or-kb","Kneeling Lateral Raise — Unilateral (Db Or Kb)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"kneeling-lateral-raise-db-or-kb","Kneeling Lateral Raise (Db Or Kb)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"sitting-on-the-floor-alternating-overhead-press-db-or-kb","Sitting On The Floor — Alternating Overhead Press (Db Or Kb)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"sitting-on-the-floor-alternating-overhead-press-neutral-grip-kb-or-db","Sitting On The Floor — Alternating Overhead Press, Neutral Grip (Kb Or Db)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"sitting-on-the-floor-arnold-press-kb-or-db","Sitting On The Floor — Arnold Press (Kb Or Db)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"sitting-on-the-floor-overhead-press-db-or-kb","Sitting On The Floor — Overhead Press (Db Or Kb)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"sitting-on-the-floor-overhead-press-neutral-grip-kb-or-db","Sitting On The Floor — Overhead Press, Neutral Grip (Kb Or Db)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"sitting-on-the-floor-unilateral-overhead-press-kb-or-db","Sitting On The Floor — Unilateral Overhead Press (Kb Or Db)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"sitting-on-the-floor-unilateral-overhead-press-neutral-grip-kb-or-db","Sitting On The Floor — Unilateral Overhead Press, Neutral Grip (Kb Or Db)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"standing-alternating-overhead-press-neutral-grip-kb-or-db","Standing Alternating Overhead Press — Neutral Grip (Kb Or Db)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"standing-alternating-overhead-press-kb-or-db","Standing Alternating Overhead Press (Kb Or Db)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"standing-arnold-press-kb-or-db","Standing Arnold Press (Kb Or Db)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"standing-lateral-raise-alternating-db-or-kb","Standing Lateral Raise — Alternating (Db Or Kb)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"standing-lateral-raise-unilateral-db-or-kb","Standing Lateral Raise — Unilateral (Db Or Kb)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"standing-lateral-raise-db-or-kb","Standing Lateral Raise (Db Or Kb)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"standing-overhead-press-neutral-grip-kb-or-db","Standing Overhead Press — Neutral Grip (Kb Or Db)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"standing-overhead-press-kb-or-db","Standing Overhead Press (Kb Or Db)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"standing-unilateral-overhead-press-neutral-grip-kb-or-db","Standing Unilateral Overhead Press — Neutral Grip (Kb Or Db)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"standing-unilateral-overhead-press-kb-or-db","Standing Unilateral Overhead Press (Kb Or Db)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"alternating-seated-overhead-press-tempo-ecc","Alternating Seated Overhead Press, Tempo (Ecc.)","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"alternating-seated-overhead-press","Alternating Seated Overhead Press","home","Shoulders","{'groups': [['dumbbells', 'kettlebells']]}"
"anchored-shoulder-press","Anchored Shoulder Press","home","Shoulders","{'groups': [['suspension-trainer']]}"
"banded-kneeling-alternating-overhead-press-neutral-grip","Banded Kneeling Alternating Overhead Press — Neutral Grip","home","Shoulders","{'groups': [['resistance-band']]}"
"banded-kneeling-alternating-overhead-press","Banded Kneeling Alternating Overhead Press","home","Shoulders","{'groups': [['resistance-band']]}"
"banded-kneeling-arnold-press","Banded Kneeling Arnold Press","home","Shoulders","{'groups': [['resistance-band']]}"
"banded-kneeling-overhead-press-neutral-grip","Banded Kneeling Overhead Press — Neutral Grip","home","Shoulders","{'groups': [['resistance-band']]}"
"banded-kneeling-overhead-press","Banded Kneeling Overhead Press","home","Shoulders","{'groups': [['resistance-band']]}"
"banded-kneeling-unilateral-overhead-press-neutral-grip","Banded Kneeling Unilateral Overhead Press — Neutral Grip","home","Shoulders","{'groups': [['resistance-band']]}"
"banded-kneeling-unilateral-overhead-press","Banded Kneeling Unilateral Overhead Press","home","Shoulders","{'groups': [['resistance-band']]}"
