exercise_name,equipment,category
Seated Dumbbell Shoulder Flexion,dumbbells and bench,Shoulders
Shoulder Press Machine Unilateral,Shoulder Press Machine,Shoulders
Shoulder Press Machine,Shoulder Press Machine,Shoulders
Standing Dumbbell Overhead Press Neutral Grip,dumbbells,Shoulders
Standing Dumbbell Overhead Press,dumbbells,Shoulders
Standing Dumbbell Shoulder Abduction,dumbbells,Shoulders
Standing Dumbbell Shoulder Flexion,dumbbells,Shoulders
Standing Shoulder Abduction Machine,shoulder abduction machine,Shoulders
Unilateral Dumbbell Shoulder Abduction,dumbbells,Shoulders
Unilateral Dumbbell Shoulder Flexion,dumbbells,Shoulders
Alternating Dumbbell Shoulder Flexion,dumbbells,Shoulders
Band Shoulder Abduction Alternating,resistance band,Shoulders
Band Shoulder Abduction Unilateral,resistance band,Shoulders
Band Shoulder Abduction,resistance band,Shoulders
Band Shoulder Flexion Alternating,resistance band,Shoulders
Band Shoulder Flexion Unilateral,resistance band,Shoulders
Band Shoulder Flexion,resistance band,Shoulders
Cable Shoulder Abduction Unilateral,Cable,Shoulders
Cable Shoulder Abduction,Cable,Shoulders
Cable Shoulder Flexion Unilateral,Cable,Shoulders
Cable Shoulder Flexion,Cable,Shoulders
Dumbbell Alternating Overhead Press,dumbbells,Shoulders
Overhead Press (Barbell),barbell,Shoulders
Seated Dumbbell Overhead Press,dumbbells and bench,Shoulders
Seated Dumbbell Overhead Press Neutral Grip,dumbbells and bench,Shoulders
Seated Dumbbell Shoulder Abduction,dumbbells and bench,Shoulders
Dumbbell Shoulder Abduction,dumbbells,Shoulders
Standing Dumbbell Arnold Press,dumbbells,Shoulders
Seated Dumbbell Arnold Press,dumbbells and bench,Shoulders
Seated unilateral Dumbbell Biceps Curls,dumbbells and bench,Arms
Seated unilateral Dumbbell Hammer Curls,dumbbells and bench,Arms
Skull Crusher (Barbell),barbell and bench,Arms
Skull Crusher (EZ Bar),EZ bar and bench,Arms
Behind-the-Head Cable Triceps Extensions Unilateral,Cable,Arms
Behind-the-Head Cable Triceps Extensions,Cable,Arms
Biceps Curls (Barbell),barbell,Arms
Biceps Curls (EZ Bar),EZ bar ,Arms
Cable Biceps Curls Unilateral,Cable,Arms
Cable Biceps Curls,Cable,Arms
Cable Hammer Curls Unilateral,Cable,Arms
Cable Hammer Curls,Cable,Arms
Cable Triceps Extensions Unilateral,Cable,Arms
Cable Triceps Extensions,Cable,Arms
Overhand Biceps Curl (EZ Bar),EZ bar ,Arms
Overhand Biceps Curls (Barbell),barbell,Arms
Overhand Cable Biceps Curls,Cable,Arms
Seated Alternating Dumbbell Biceps Curls,dumbbells and bench,Arms
Seated Alternating Dumbbell Hammer Curls,dumbbells and bench,Arms
Seated Dumbbell Biceps Curls,dumbbells and bench,Arms
Seated Dumbbell Hammer Curls,dumbbells and bench,Arms
Dumbbell Overhand Biceps Curls,dumbbells,Arms
Dumbbell Skull Crusher Unilateral,dumbbells and bench,Arms
Dumbbell Skull Crusher,dumbbells and bench,Arms
Smith Machine Bench Press,Smith machine and bench,Chest
Smith Machine Decline Bench Press,Smith machine and bench,Chest
Smith Machine Incline Bench Press,Smith machine and bench,Chest
Assisted Dips,dips machine,Chest
Barbell Bench Press,bench press,Chest
Cable Chest Fly Unilateral,Cable,Chest
Cable Chest Fly,Cable,Chest
Decline Bench Press (Barbell),decline bench press,Chest
Dumbbell Bench Press,dumbbells and bench,Chest
