Unnamed: 0,OPREMA
Rame,
kneeling lateral raise — alternating (DB or KB),dumbbells or kettlebells
kneeling lateral raise — unilateral (DB or KB),dumbbells or kettlebells
kneeling lateral raise (DB or KB),dumbbells or kettlebells
sitting on the floor — alternating overhead press (DB or KB),dumbbells or kettlebells
"sitting on the floor — alternating overhead press, neutral grip (KB or DB)",dumbbells or kettlebells
sitting on the floor — Arnold press (KB or DB),dumbbells or kettlebells
sitting on the floor — overhead press (DB or KB),dumbbells or kettlebells
"sitting on the floor — overhead press, neutral grip (KB or DB)",dumbbells or kettlebells
sitting on the floor — unilateral overhead press (KB or DB),dumbbells or kettlebells
"sitting on the floor — unilateral overhead press, neutral grip (KB or DB)",dumbbells or kettlebells
standing alternating overhead press — neutral grip (KB or DB),dumbbells or kettlebells
standing alternating overhead press (KB or DB),dumbbells or kettlebells
standing Arnold press (KB or DB),dumbbells or kettlebells
standing lateral raise — alternating (DB or KB),dumbbells or kettlebells
standing lateral raise — unilateral (DB or KB),dumbbells or kettlebells
standing lateral raise (DB or KB),dumbbells or kettlebells
standing overhead press — neutral grip (KB or DB),dumbbells or kettlebells
standing overhead press (KB or DB),dumbbells or kettlebells
standing unilateral overhead press — neutral grip (KB or DB),dumbbells or kettlebells
standing unilateral overhead press (KB or DB),dumbbells or kettlebells
"alternating seated overhead press, tempo (ecc.)",dumbbells or kettlebells
alternating seated overhead press,dumbbells or kettlebells
anchored shoulder press,suspension trainer
banded kneeling alternating overhead press — neutral grip,resistance band
banded kneeling alternating overhead press,resistance band
banded kneeling Arnold press,resistance band
banded kneeling overhead press — neutral grip,resistance band
banded kneeling overhead press,resistance band
banded kneeling unilateral overhead press — neutral grip,resistance band
banded kneeling unilateral overhead press,resistance band
banded sitting-on-the-floor alternating overhead press — neutral grip,resistance band
banded sitting-on-the-floor alternating overhead press,resistance band
banded sitting-on-the-floor Arnold press,resistance band
banded sitting-on-the-floor overhead press — neutral grip,resistance band
banded sitting-on-the-floor overhead press,resistance band
banded sitting-on-the-floor unilateral overhead press — neutral grip,resistance band
banded sitting-on-the-floor unilateral overhead press,resistance band
banded standing alternating overhead press — neutral grip,resistance band
banded standing alternating overhead press,resistance band
banded standing Arnold press,resistance band
banded standing overhead press — neutral grip,resistance band
banded standing overhead press,resistance band
lateral raise — anchored,suspension trainer
pike shoulder press,body weight
seated alternating lateral raise,dumbbells or kettlebells and chair or bench
seated Arnold press,dumbbells or kettlebells and chair or bench
seated lateral raise,dumbbells or kettlebells and chair or bench
seated overhead press,dumbbells or kettlebells and chair or bench
"seated overhead press, tempo (ecc.)",dumbbells or kettlebells and chair or bench
"unilateral seated overhead press, tempo (ecc.)",dumbbells or kettlebells and chair or bench
unilateral seated overhead press,dumbbells or kettlebells and chair or bench
unilateral seated overhead press,dumbbells or kettlebells and chair or bench
banded standing unilateral overhead press — neutral grip,resistance band
banded standing unilateral overhead press,resistance band
kneeling alternating front raise (DB or KB),dumbbells or kettlebells
kneeling front raise (DB or KB),dumbbells or kettlebells
sitting on the floor — alternating front press (DB or KB),dumbbells or kettlebells
sitting on the floor — front press (DB or KB),dumbbells or kettlebells
standing alternating front press (DB or KB),dumbbells or kettlebells
standing alternating front raise (DB or KB),dumbbells or kettlebells
standing front press (DB or KB),dumbbells or kettlebells
standing front raise (DB or KB),dumbbells or kettlebells
alternating seated front press,dumbbells or kettlebells and chair or bench
"alternating seated neutral press, tempo (ecc.)",dumbbells or kettlebells and chair or bench
alternating seated neutral press,dumbbells or kettlebells and chair or bench
anchored front raise,suspension trainer
banded kneeling alternating front press,resistance band
banded kneeling front press,resistance band
banded sitting-on-the-floor alternating front press,resistance band
banded sitting-on-the-floor front press,resistance band
banded standing alternating front press,resistance band
banded standing front press,resistance band
seated alternating front raise,dumbbells or kettlebells and chair or bench
seated front press,dumbbells or kettlebells and chair or bench
seated front raise,dumbbells or kettlebells and chair or bench
seated neutral press — tempo (ecc.),dumbbells or kettlebells and chair or bench
seated neutral press,dumbbells or kettlebells and chair or bench
seated unilateral front raise,dumbbells or kettlebells and chair or bench
banded kneeling unilateral front press,resistance band
banded sitting-on-the-floor unilateral front press,resistance band
sitting on the floor — unilateral front press (KB or DB),dumbbells or kettlebells
standing unilateral front press (DB or KB),dumbbells or kettlebells
pike push-ups,body weight
banded standing unilateral front press,resistance band
unilateral seated front press (2),dumbbells or kettlebells and chair or bench
"unilateral seated neutral press, tempo (ecc.)",dumbbells or kettlebells and chair or bench
unilateral seated neutral press,dumbbells or kettlebells and chair or bench
,
Roke,
door-frame body curls,door frame
neutral-grip preacher curl (DB or KB),dumbbells or kettlebells
preacher curl (DB or KB),dumbbells or kettlebells
seated (chair) alternating biceps curls (DB or KB),dumbbells or kettlebells and chair or bench
seated (chair) biceps curls (DB or KB),dumbbells or kettlebells and chair or bench
seated (chair) neutral-grip alternating biceps curls (DB or KB),dumbbells or kettlebells and chair or bench
seated (chair) neutral-grip biceps curls (DB or KB),dumbbells or kettlebells and chair or bench
seated (chair) neutral-grip unilateral biceps curls (DB or KB),dumbbells or kettlebells and chair or bench
seated (chair) pronated alternating biceps curls (DB or KB),dumbbells or kettlebells and chair or bench
seated (chair) pronated biceps curls (DB or KB),dumbbells or kettlebells and chair or bench
seated (chair) pronated unilateral biceps curls (DB or KB),dumbbells or kettlebells and chair or bench
seated (chair) supinated alternating biceps curls (DB or KB),dumbbells or kettlebells and chair or bench
seated (chair) supinated biceps curls (DB or KB),dumbbells or kettlebells and chair or bench
seated (chair) supinated unilateral biceps curls (DB or KB),dumbbells or kettlebells and chair or bench
seated (chair) unilateral biceps curls (DB or KB),dumbbells or kettlebells and chair or bench
standing alternating biceps curls (DB or KB),dumbbells or kettlebells
standing biceps curls — extremely slow eccentric (using household items),filled bag
