exercise_name,equipment,category
kneeling lateral raise — alternating (DB or KB),dumbbells or kettlebells,Shoulders
kneeling lateral raise — unilateral (DB or KB),dumbbells or kettlebells,Shoulders
kneeling lateral raise (DB or KB),dumbbells or kettlebells,Shoulders
sitting on the floor — alternating overhead press (DB or KB),dumbbells or kettlebells,Shoulders
"sitting on the floor — alternating overhead press, neutral grip (KB or DB)",dumbbells or kettlebells,Shoulders
sitting on the floor — Arnold press (KB or DB),dumbbells or kettlebells,Shoulders
sitting on the floor — overhead press (DB or KB),dumbbells or kettlebells,Shoulders
"sitting on the floor — overhead press, neutral grip (KB or DB)",dumbbells or kettlebells,Shoulders
sitting on the floor — unilateral overhead press (KB or DB),dumbbells or kettlebells,Shoulders
"sitting on the floor — unilateral overhead press, neutral grip (KB or DB)",dumbbells or kettlebells,Shoulders
standing alternating overhead press — neutral grip (KB or DB),dumbbells or kettlebells,Shoulders
standing alternating overhead press (KB or DB),dumbbells or kettlebells,Shoulders
standing Arnold press (KB or DB),dumbbells or kettlebells,Shoulders
standing lateral raise — alternating (DB or KB),dumbbells or kettlebells,Shoulders
standing lateral raise — unilateral (DB or KB),dumbbells or kettlebells,Shoulders
standing lateral raise (DB or KB),dumbbells or kettlebells,Shoulders
standing overhead press — neutral grip (KB or DB),dumbbells or kettlebells,Shoulders
standing overhead press (KB or DB),dumbbells or kettlebells,Shoulders
standing unilateral overhead press — neutral grip (KB or DB),dumbbells or kettlebells,Shoulders
standing unilateral overhead press (KB or DB),dumbbells or kettlebells,Shoulders
"alternating seated overhead press, tempo (ecc.)",dumbbells or kettlebells,Shoulders
alternating seated overhead press,dumbbells or kettlebells,Shoulders
anchored shoulder press,suspension trainer,Shoulders
banded kneeling alternating overhead press — neutral grip,resistance band,Shoulders
banded kneeling alternating overhead press,resistance band,Shoulders
banded kneeling Arnold press,resistance band,Shoulders
banded kneeling overhead press — neutral grip,resistance band,Shoulders
banded kneeling overhead press,resistance band,Shoulders
banded kneeling unilateral overhead press — neutral grip,resistance band,Shoulders
banded kneeling unilateral overhead press,resistance band,Shoulders
banded sitting-on-the-floor alternating overhead press — neutral grip,resistance band,Shoulders
banded sitting-on-the-floor alternating overhead press,resistance band,Shoulders
banded sitting-on-the-floor Arnold press,resistance band,Shoulders
banded sitting-on-the-floor overhead press — neutral grip,resistance band,Shoulders
banded sitting-on-the-floor overhead press,resistance band,Shoulders
banded sitting-on-the-floor unilateral overhead press — neutral grip,resistance band,Shoulders
banded sitting-on-the-floor unilateral overhead press,resistance band,Shoulders
banded standing alternating overhead press — neutral grip,resistance band,Shoulders
banded standing alternating overhead press,resistance band,Shoulders
banded standing Arnold press,resistance band,Shoulders
banded standing overhead press — neutral grip,resistance band,Shoulders
banded standing overhead press,resistance band,Shoulders
lateral raise — anchored,suspension trainer,Shoulders
pike shoulder press,body weight,Shoulders
seated alternating lateral raise,dumbbells or kettlebells and chair or bench,Shoulders
seated Arnold press,dumbbells or kettlebells and chair or bench,Shoulders
seated lateral raise,dumbbells or kettlebells and chair or bench,Shoulders
seated overhead press,dumbbells or kettlebells and chair or bench,Shoulders
"seated overhead press, tempo (ecc.)",dumbbells or kettlebells and chair or bench,Shoulders
"unilateral seated overhead press, tempo (ecc.)",dumbbells or kettlebells and chair or bench,Shoulders
unilateral seated overhead press,dumbbells or kettlebells and chair or bench,Shoulders
unilateral seated overhead press,dumbbells or kettlebells and chair or bench,Shoulders
banded standing unilateral overhead press — neutral grip,resistance band,Shoulders
banded standing unilateral overhead press,resistance band,Shoulders
kneeling alternating front raise (DB or KB),dumbbells or kettlebells,Shoulders
kneeling front raise (DB or KB),dumbbells or kettlebells,Shoulders
sitting on the floor — alternating front press (DB or KB),dumbbells or kettlebells,Shoulders
sitting on the floor — front press (DB or KB),dumbbells or kettlebells,Shoulders
standing alternating front press (DB or KB),dumbbells or kettlebells,Shoulders
standing alternating front raise (DB or KB),dumbbells or kettlebells,Shoulders
standing front press (DB or KB),dumbbells or kettlebells,Shoulders
standing front raise (DB or KB),dumbbells or kettlebells,Shoulders
alternating seated front press,dumbbells or kettlebells and chair or bench,Shoulders
"alternating seated neutral press, tempo (ecc.)",dumbbells or kettlebells and chair or bench,Shoulders
alternating seated neutral press,dumbbells or kettlebells and chair or bench,Shoulders
anchored front raise,suspension trainer,Shoulders
banded kneeling alternating front press,resistance band,Shoulders
banded kneeling front press,resistance band,Shoulders
